Time,PPG,ECG,resp
0,2.3049853372434,-0.06005859375,-0.000488639139995114
0.008,2.3049853372434,-0.06005859375,-0.000488639139995114
0.016,2.3049853372434,-0.06494140625,0.000488639139995114
0.024,2.3049853372434,-0.0546875,0.0017102369899829
0.032,2.3049853372434,-0.0546875,0.00610798924993892
0.04,2.3049853372434,-0.0400390625,0.0105057415098949
0.048,2.3049853372434,-0.03466796875,0.0151478133398485
0.056,2.3049853372434,-0.02490234375,0.0197898851698021
0.064,2.3049853372434,-0.009765625,0.0246762765697532
0.072,2.30400782013685,0.0048828125,0.0295626679697044
0.08,2.30400782013685,0.01025390625,0.0339604202296604
0.088,2.30400782013685,0.02490234375,0.038602492059614
0.096,2.30400782013685,0.0302734375,0.0425116051795749
0.104,2.30400782013685,0.0400390625,0.0466650378695333
0.112,2.30400782013685,0.05029296875,0.0503298314194967
0.12,2.30400782013685,0.06494140625,0.0542389445394576
0.128,2.30400782013685,0.080078125,0.0576594185194234
0.136,2.30400782013685,0.09033203125,0.0613242120693868
0.144,2.30400782013685,0.10498046875,0.064500366479355
0.152,2.30400782013685,0.125,0.0679208404593208
0.16,2.3030303030303,0.14013671875,0.071096994869289
0.168,2.3030303030303,0.16015625,0.0742731492792573
0.176,2.3030303030303,0.18505859375,0.0776936232592231
0.184,2.3030303030303,0.2099609375,0.0813584168091864
0.192,2.3030303030303,0.240234375,0.0850232103591498
0.2,2.3030303030303,0.27490234375,0.0886880039091131
0.208,2.3030303030303,0.31494140625,0.0921084778890789
0.216,2.3030303030303,0.34521484375,0.0955289518690447
0.224,2.3030303030303,0.3798828125,0.0984607867090154
0.232,2.3030303030303,0.40478515625,0.101636941118984
0.24,2.3030303030303,0.43017578125,0.103835817248962
0.248,2.30205278592375,0.44482421875,0.106279012948937
0.256,2.30205278592375,0.4501953125,0.107744930368923
0.264,2.30205278592375,0.4248046875,0.109210847788908
0.272,2.30205278592375,0.3798828125,0.109210847788908
0.28,2.30205278592375,0.30517578125,0.109455167358905
0.288,2.30205278592375,0.22509765625,0.108477889078915
0.296,2.30205278592375,0.14501953125,0.107500610798925
0.304,2.30205278592375,0.080078125,0.10603469337894
0.312,2.30205278592375,0.02490234375,0.104813095528952
0.32,2.30205278592375,-0.009765625,0.103102858538969
0.328,2.30205278592375,-0.02978515625,0.101392621548986
0.336,2.30205278592375,-0.0400390625,0.0979721475690203
0.344,2.30205278592375,-0.0498046875,0.094795993159052
0.352,2.30205278592375,-0.0498046875,0.0901539213290985
0.36,2.30205278592375,-0.0546875,0.0855118494991449
0.368,2.30205278592375,-0.0546875,0.0798924993892011
0.376,2.30205278592375,-0.06005859375,0.0742731492792573
0.384,2.30205278592375,-0.06494140625,0.0681651600293183
0.392,2.30205278592375,-0.06005859375,0.062301490349377
0.4,2.30205278592375,-0.06494140625,0.0576594185194234
0.408,2.30205278592375,-0.06494140625,0.0530173466894698
0.416,2.30205278592375,-0.06982421875,0.0498411922795016
0.424,2.30205278592375,-0.06494140625,0.0466650378695333
0.432,2.30205278592375,-0.06982421875,0.0444661617395553
